Region,Power,Industry,Residential,Solvent,Mobile,Agriculture,Others
Incheon,0.6118,1.087,0.5465,1.0378,0.949,0.7783,0.6976
Gyeonggi,0.575,1.3793,0.8424,0.7727,1.4367,1.1779,1.1146
Seoul,0.5145,0.9279,0.6924,1.3141,0.9452,1.1091,0.7212
Gangwon,1.4794,1.1672,1.0984,0.6809,0.5404,1.1734,1.043
Chungbuk,1.134,0.71,1.4105,0.6365,0.7252,0.5039,0.9427
Sejong,0.9967,1.3949,0.7871,1.2088,0.5495,1.343,0.5128
Daejeon,1.1734,0.7181,0.7623,0.7397,1.3867,0.8649,0.9787
Chungnam,0.5204,0.5622,1.0215,0.8201,0.8126,0.9943,0.5852
Gyeongbuk,1.0636,1.0734,1.3431,1.1989,1.1929,1.0456,1.1263
Daegu,1.2744,0.9518,1.2477,1.3823,0.7081,0.7865,1.0544
Ulsan,1.198,0.9196,1.2842,1.4451,0.5283,0.5344,1.4682
Busan,0.5049,1.3645,1.1922,1.1078,1.047,1.2499,1.3917
Gyeongnam,0.5813,1.337,0.811,0.9521,1.0571,0.6717,0.8325
Jeonbuk,0.7022,1.2867,1.1506,0.7521,0.5809,1.0639,0.6676
Gwangju,0.8724,1.0699,0.8406,1.2849,0.6216,1.4977,0.5833
Jeonnam,1.3114,1.1878,1.2813,1.3932,1.0018,0.8057,0.7421
Jeju,1.0344,1.2241,0.5201,0.7412,1.3959,0.7526,0.9783
